2025-12-10 17:54:00.401|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\RAVU\RAVU_R4_RGB.hlsl
2025-12-10 17:54:00.401|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\RAVU\RAVU_Zoom_AR_R2.hlsl
2025-12-10 17:54:00.401|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\RAVU\RAVU_Zoom_AR_R2_RGB.hlsl
2025-12-10 17:54:00.401|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\RAVU\RAVU_Zoom_AR_R3.hlsl
2025-12-10 17:54:00.401|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\RAVU\RAVU_Zoom_AR_R3_RGB.hlsl
2025-12-10 17:54:00.411|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\RAVU\RAVU_Zoom_R2.hlsl
2025-12-10 17:54:00.412|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\RAVU\RAVU_Zoom_R2_RGB.hlsl
2025-12-10 17:54:00.412|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\RAVU\RAVU_Zoom_R3.hlsl
2025-12-10 17:54:00.412|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\RAVU\RAVU_Zoom_R3_RGB.hlsl
2025-12-10 17:54:00.412|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\Sharpen\AdaptiveSharpen.hlsl
2025-12-10 17:54:00.412|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\Sharpen\FineSharp.hlsl
2025-12-10 17:54:00.412|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\Sharpen\LCAS.hlsl
2025-12-10 17:54:00.413|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\Sharpen\LumaSharpen.hlsl
2025-12-10 17:54:00.413|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\SMAA\SMAA_High.hlsl
2025-12-10 17:54:00.425|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\SMAA\SMAA_Low.hlsl
2025-12-10 17:54:00.425|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\SMAA\SMAA_Medium.hlsl
2025-12-10 17:54:00.431|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\SMAA\SMAA_Ultra.hlsl
2025-12-10 17:54:00.431|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\SSimDownscaler.hlsl
2025-12-10 17:54:00.431|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\xBRZ\xBRZ_2x.hlsl
2025-12-10 17:54:00.431|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\xBRZ\xBRZ_3x.hlsl
2025-12-10 17:54:00.431|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\xBRZ\xBRZ_4x.hlsl
2025-12-10 17:54:00.431|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\xBRZ\xBRZ_5x.hlsl
2025-12-10 17:54:00.434|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\xBRZ\xBRZ_6x.hlsl
2025-12-10 17:54:00.440|info|Win32Helper.cpp:350|ReadTextFile|读取文本文件: effects\xBRZ\xBRZ_Freescale.hlsl
2025-12-10 17:54:00.779|info|AppSettings.cpp:213|Initialize|便携模式: 否
2025-12-10 17:54:00.779|info|AppSettings.cpp:216|Initialize|不存在配置文件
2025-12-10 17:54:00.779|info|Win32Helper.cpp:372|WriteTextFile|写入文本文件: C:\Users\afons\AppData\Local\Magpie\config\v4\config.json
2025-12-10 17:54:11.771|info|Win32Helper.cpp:372|WriteTextFile|写入文本文件: C:\Users\afons\AppData\Local\Magpie\config\v4\config.json
2025-12-10 17:54:11.820|info|Win32Helper.cpp:372|WriteTextFile|写入文本文件: C:\Users\afons\AppData\Local\Magpie\config\v4\config.json
2025-12-10 17:54:53.470|info|Win32Helper.cpp:372|WriteTextFile|写入文本文件: C:\Users\afons\AppData\Local\Magpie\config\v4\config.json
2025-12-10 17:55:33.130|info|ShortcutService.cpp:212|operator()|热键 Scale 激活（Keyboard Hook）
2025-12-10 17:55:33.130|info|ScalingOptions.cpp:40|Log|缩放选项
	IsWindowedMode: false
	IsDebugMode: false
	IsBenchmarkMode: false
	IsFP16Disabled: false
	IsEffectCacheDisabled: false
	IsFontCacheDisabled: false
	IsSaveEffectSources: false
	IsWarningsAreErrors: false
	IsStatisticsForDynamicDetectionEnabled: false
	IsInlineParams: false
	IsTouchSupportEnabled: false
	IsAllowScalingMaximized: false
	IsSimulateExclusiveFullscreen: false
	Is3DGameMode: false
	IsCaptureTitleBar: false
	IsAdjustCursorSpeed: true
	IsDirectFlipDisabled: false
	cropping: 0,0,0,0
	graphicsCardId:
		idx: -1
		venderId: 0
		deviceId: 0
	minFrameRate: 10
	maxFrameRate: 0
	cursorScaling: 1
	captureMethod: 0
	multiMonitorUsage: 0
	cursorInterpolationMode: 0
	duplicateFrameDetectionMode: 1
	fullscreenInitialToolbarState: 2
	windowedInitialToolbarState: 2
	screenshotsDir: C:\Users\afons\Pictures\Screenshots
	effects: 
		FSR\FSR_EASU
			scalingType: 1
			scale: 1,1
			parameters: 无
		FSR\FSR_RCAS
			scalingType: 0
			scale: 1,1
			parameters: 
				sharpness: 0.87
2025-12-10 17:55:33.130|info|ScalingWindow.cpp:54|_StartImpl|缩放开始
	程序版本: v0.12.1
	OS 版本: 10.0.19045
	管理员: 否
2025-12-10 17:55:33.138|info|ScalingWindow.cpp:40|LogRects|源矩形: 190,183,1154,864 (964x681)
2025-12-10 17:55:33.138|info|ScalingWindow.cpp:44|LogRects|渲染矩形: 0,0,1920,1080 (1920x1080)
2025-12-10 17:55:33.138|info|ScalingWindow.cpp:48|LogRects|缩放窗口矩形: 0,0,1920,1080 (1920x1080)
2025-12-10 17:55:33.138|info|DeviceResources.cpp:32|Initialize|可变刷新率支持: 是
2025-12-10 17:55:33.140|info|DeviceResources.cpp:32|Initialize|可变刷新率支持: 是
2025-12-10 17:55:33.177|info|DeviceResources.cpp:220|_TryCreateD3DDevice|已创建 D3D 设备
	功能级别: 11.1
2025-12-10 17:55:33.177|info|DeviceResources.cpp:245|_TryCreateD3DDevice|FP16 支持: 是
2025-12-10 17:55:33.177|info|Renderer.cpp:61|LogAdapter|当前图形适配器: 
	VendorId: 0x10de
	DeviceId: 0x1f91
	Description: NVIDIA GeForce GTX 1650
2025-12-10 17:55:33.209|info|DeviceResources.cpp:220|_TryCreateD3DDevice|已创建 D3D 设备
	功能级别: 11.1
2025-12-10 17:55:33.209|info|DeviceResources.cpp:245|_TryCreateD3DDevice|FP16 支持: 是
2025-12-10 17:55:33.209|info|Renderer.cpp:415|_InitFrameSource|当前捕获模式: Graphics Capture
2025-12-10 17:55:33.227|info|GraphicsCaptureFrameSource.cpp:73|_Initialize|GraphicsCaptureFrameSource 初始化完成
2025-12-10 17:55:33.227|info|Renderer.cpp:426|_InitFrameSource|捕获尺寸: 964x681
